,county_fips,period_end,property_type,property_type_id,median_sale_price_yoy,median_list_price_yoy,median_ppsf_yoy,median_list_ppsf_yoy,homes_sold_yoy,new_listings_yoy,inventory_yoy,months_of_supply_yoy,median_dom_yoy,avg_sale_to_list_yoy,sold_above_list_yoy,date,year,month
13,49023,2020-12-31,All Residential,-1,0.0692307692307692,-0.196435550691785,0.0291277844969328,0.062739511625,0.6,1.5,0.125,-0.9,-71.0,0.0317188116853865,0.0499999999999999,2020-12-31,2020,12
22,18139,2014-12-31,All Residential,-1,-0.403189066059225,0.848837209302326,-0.432912475429307,0.143236603901447,0.375,0.0833333333333332,0.139784946236559,-2.0,-42.0,-0.0029770656590005,0.0568181818181818,2014-12-31,2014,12
33,27011,2020-12-31,All Residential,-1,-0.679054054054054,,-0.188265228763125,,-0.6,,-0.666666666666667,-0.7,92.0,-0.0136367511643037,0.0,2020-12-31,2020,12
55,16071,2013-12-31,All Residential,-1,2.85757575757576,0.355294117647059,2.6729562628807,0.590400658165364,0.0,1.0,0.909090909090909,10.0,-2721.0,,0.0,2013-12-31,2013,12
67,13207,2014-12-31,All Residential,-1,0.822660098522167,0.249107142857143,0.509317213969695,0.936807080762586,-0.142857142857143,4.0,0.893617021276596,8.1,31.0,0.0083712192478292,-0.142857142857143,2014-12-31,2014,12
71,05049,2019-12-31,All Residential,-1,0.557894736842105,0.522413793103448,1.09323427743087,0.458468669086593,6.0,0.2,0.6,-19.3,,-0.240921390463988,-0.714285714285714,2019-12-31,2019,12
76,27011,2015-12-31,All Residential,-1,0.74,,0.595979093271942,,-0.333333333333333,,0.56,11.2,-361.0,0.163681038152435,0.0,2015-12-31,2015,12
105,45043,2018-12-31,All Residential,-1,-0.0535714285714286,0.0958951362538806,-0.0517051264059023,0.0731666712171301,-0.271844660194175,-0.0246913580246913,0.170731707317073,4.1,13.0,-0.0062873585933982,-0.024336569579288,2018-12-31,2018,12
121,27171,2013-12-31,All Residential,-1,0.20266531630561,0.0625390869293307,0.136812273473879,-0.0035996909014026,0.0579710144927536,0.0660377358490567,0.0222984562607204,-0.100000000000001,-9.0,-0.0103151347305938,-0.021143537820131,2013-12-31,2013,12
126,05065,2018-12-31,All Residential,-1,-0.723529411764706,0.392207792207792,-0.425133386688009,0.124895567351873,1.6,0.111111111111111,0.163636363636363,-6.1,59.0,-0.026750312293887,0.0,2018-12-31,2018,12
128,37125,2016-12-31,All Residential,-1,0.0763636363636364,-0.563636363636364,0.132963060141823,-0.463772606060606,1.0,0.0,1.11111111111111,0.5,177.0,0.0,0.0,2016-12-31,2016,12
150,05113,2021-12-31,All Residential,-1,0.176106194690266,0.417014178482068,0.320191158900836,0.124466346153846,0.0869565217391303,-0.153846153846154,-0.0454545454545454,-0.4,-88.0,0.0613978957338202,-0.0069565217391304,2021-12-31,2021,12
153,23025,2020-12-31,All Residential,-1,0.236,0.235149461937027,0.0565399760315015,0.216513451562311,0.621621621621622,0.0357142857142858,-0.449781659388646,-4.1,-44.0,0.02406336375251,0.185585585585585,2020-12-31,2020,12
180,36027,2013-12-31,All Residential,-1,0.0103092783505154,0.0380769230769231,0.0619984726094799,0.0576419157800869,-0.0309278350515463,0.645833333333333,-0.0027434842249657,0.2,-10.0,0.0096320218523309,0.0548365869708269,2013-12-31,2013,12
182,29165,2017-12-31,All Residential,-1,0.109916110991611,-0.0567924528301886,0.0949776526728594,0.0680771696683568,0.0073529411764705,0.320987654320988,,0.0,-13.0,,,2017-12-31,2017,12
191,06065,2016-12-31,All Residential,-1,0.0567823343848581,0.0672782874617736,0.0665617791481101,0.0726778080062184,0.0612468100619758,-0.0896637608966376,0.0034861068389213,-0.2,8.0,-0.0003710828990409,-0.0061603985435961,2016-12-31,2016,12
196,39011,2013-12-31,All Residential,-1,0.220930232558139,0.213333333333333,0.135500922378317,0.723850734865895,0.285714285714286,-0.4,-0.178403755868545,-3.6,99.0,0.0101733010870292,0.148148148148148,2013-12-31,2013,12
210,44009,2018-12-31,All Residential,-1,0.0954616588419405,0.052796665833332,0.10349030670183,0.013147122377334,-0.145348837209302,0.287234042553191,-0.0624,0.4,-1.0,-0.0055270282843604,0.041172282866635,2018-12-31,2018,12
212,31177,2013-12-31,All Residential,-1,0.191358024691358,-0.290322580645161,0.0915128268112792,-0.0309333532565503,-0.291666666666667,0.0,-0.0476190476190476,1.2,-18.0,-0.0261974730394273,-0.0073529411764705,2013-12-31,2013,12
221,37121,2015-12-31,All Residential,-1,0.786061588330632,-0.509122807017544,-0.0373204877188407,-0.484159427695452,2.0,2.0,1.38636363636364,-4.5,-513.0,-0.0855502329633378,-0.5,2015-12-31,2015,12
