,home_value_median,median_ppsf,median_list_price,median_list_ppsf,median_sale_price
19,106500.0,49.9085752637567,84900.0,51.1695906432749,108500.0
20,111400.0,60.3207810320781,108500.0,63.5149435796431,105000.0
21,115600.0,53.3897764649498,99900.0,60.2096698817231,111000.0
22,117700.0,64.5299145299145,119900.0,66.1251504211793,145000.0
23,121800.0,65.9375,109900.0,68.71875,124000.0
24,121600.0,70.7811825636599,129900.0,74.718045112782,145450.0
65,109100.0,58.8568113775421,89900.0,53.1723143475126,110052.5
66,128600.0,71.1568922129403,94950.0,60.4133965358614,105550.0
67,133100.0,70.4649128341009,106200.0,70.4501821105416,145000.0
68,123700.0,70.5125052496629,151100.0,85.4732607136453,120000.0
69,127700.0,78.6259541984733,92450.0,63.0051560758082,186500.0
70,137600.0,102.127619795464,190584.5,97.4579060913526,199000.0
75,90500.0,72.5256895619254,122550.0,49.4442452491933,113057.0
76,101000.0,65.9340659340659,79900.0,49.1340147643384,110000.0
77,101600.0,62.8163265306122,94900.0,67.5690973557179,119000.0
78,114500.0,68.3371298405467,124900.0,71.4238975817923,115000.0
79,112000.0,72.0,152400.0,87.9839346134403,149500.0
80,115200.0,90.2777777777778,149900.0,92.0,163500.0
85,99700.0,57.0630438288355,69900.0,46.6222222222222,123000.0
86,99200.0,68.0119581464873,86000.0,60.4092526690391,107000.0
87,109400.0,58.4643510054845,86450.0,56.5979381443299,116000.0
88,115200.0,64.991807755325,109000.0,54.4518473652332,107250.0
89,127800.0,67.5442989214176,106900.0,57.9098067287044,128500.0
90,127500.0,75.2447632452972,123500.0,68.71875,167350.0
105,142500.0,91.6562589259212,149900.0,84.1814394709131,159950.0
106,155000.0,89.8360655737705,146700.0,80.8406428193064,177500.0
107,152000.0,93.5205183585314,159780.0,88.4799567996667,191372.5
108,160200.0,96.3530494802317,149900.0,88.808426596445,180239.0
109,166900.0,100.0,174950.0,96.7424580215765,210000.0
110,170000.0,108.11768876285,179900.0,103.356643356643,215000.0
125,143100.0,82.6343768458358,122450.0,73.6073812660069,182222.0
126,152600.0,89.1176970586437,175000.0,88.3844339622641,181150.0
127,151500.0,91.0121113871518,215000.0,95.417661097852,221375.0
128,158500.0,96.4424138131413,222900.0,94.8298429319372,212894.0
129,164800.0,97.8129742033384,225000.0,103.591972761586,231000.0
130,183500.0,106.972417017298,276950.0,113.252488987345,255166.0
135,171600.0,85.0825082508251,139900.0,78.3265177728845,167500.0
136,177700.0,85.2786515668877,175605.0,91.716899747006,185125.0
137,178200.0,90.1732699989204,184200.0,90.7599976186296,194222.0
138,182400.0,91.41503657574,193700.0,96.3864635051076,210196.0
139,192500.0,98.7424312994877,210273.0,101.351351351351,227950.0
140,193900.0,107.849922820296,231000.0,108.346137462763,255663.5
145,106400.0,60.4338842975207,67400.0,47.4542343678959,120227.0
146,122800.0,66.6190476190476,137200.0,76.2537055335968,115000.0
147,121700.0,67.7769171185128,100950.0,66.4652674407066,121308.0
148,121600.0,72.4709418837675,139900.0,81.1184606133494,136077.0
149,136200.0,77.6147465073467,139700.0,87.9893314366999,151780.0
150,135600.0,91.7911042903019,169900.0,85.3718199608611,178100.0
155,120900.0,59.9439775910364,109900.0,63.5668826002955,121000.0
156,132000.0,73.6906211936663,129700.0,76.9396518333287,127225.5
157,123500.0,71.647650595019,124900.0,68.6805202909468,127500.0
158,143000.0,70.0,139900.0,74.7816524928908,151000.0
159,139700.0,78.5432618669844,154900.0,90.625,160000.0
