,county_fips,region,state,property_type,month,diff,target,preds,target19,2019to2020increase
246,18071,"Jackson County, IN",Indiana,All Residential,11,-49386.406,82700.0,132086.40600000002,25000.0,4.2834562400000005
1187,5059,"Hot Spring County, AR",Arkansas,All Residential,11,69464.09,183500.0,114035.91,26000.0,3.3859965384615385
487,27081,"Lincoln County, MN",Minnesota,All Residential,11,49635.977,125591.0,75955.023,25000.0,2.03820092
557,28163,"Yazoo County, MS",Mississippi,All Residential,11,12520.133,111000.0,98479.867,32500.0,2.0301497538461537
321,21161,"Mason County, KY",Kentucky,All Residential,11,73542.39,168000.0,94457.61,36500.0,1.5878797260273974
760,39009,"Athens County, OH",Ohio,All Residential,11,29950.805,144900.0,114949.195,44950.0,1.5572679644048946
267,19029,"Cass County, IA",Iowa,All Residential,11,48750.0,135500.0,86750.0,35500.0,1.443661971830986
1245,51183,"Sussex County, VA",Virginia,All Residential,11,-10642.906,137450.0,148092.906,70000.0,1.1156129428571426
587,29181,"Ripley County, MO",Missouri,All Residential,11,-28584.484,58350.0,86934.484,42000.0,1.0698686666666666
614,32017,"Lincoln County, NV",Nevada,All Residential,11,170452.81,290000.0,119547.19,59714.0,1.0019960143349969
